Phenotype,Collapsing model,Phenotypic category,P value,No. samples,No. with QV,No. without QV,QV carrier median,QV non-carrier median,Effect size,Effect size standard error,Effect size LCI,Effect size UCI
1072#1098#FXN#Q16595#OID21442#v1#Oncology,rec,OLINK Proteomics,0.0128275973963575,45621,7,45614,-1.02611891664247,-0.0102811739028664,-0.935966023891135,0.376098671806852,-1.67312544088448,-0.198806606897794
1072#2012#PDIA5#Q14554#OID31209#v1#OncologyII,rec,OLINK Proteomics,0.0495612615356608,44039,7,44032,1.19876027184461,0.00576312301832077,0.739603626573432,0.376621399752835,0.00141895028897232,1.47778830285789
1072#5#ABHD14B#Q96IU4#OID20921#v1#Neurology,rec,OLINK Proteomics,0.0205450472243631,44781,7,44774,-1.10538827887704,0.00455777262645434,-0.862294153240944,0.372268276855854,-1.5919462982538,-0.132642008228086
1072#1225#GSN#P06396#OID30714#v1#InflammationII,rec,OLINK Proteomics,0.0659574844785113,45525,7,45518,0.961816482425423,-0.0127178605285678,0.683940631294681,0.37195818925428,-0.0451034144409921,1.41298467703035
25553#Weighted-mean MO in tract forceps minor,rec,Chapter VI Diseases of the nervous system,0.0347406047760642,34970,7,34963,0.869191156757748,-0.000587713361465437,0.780114485396368,0.369468355191905,0.0559447483281802,1.50428422246455
1072#2458#SIRT2#Q8IXJ6#OID21375#v1#Oncology,rec,OLINK Proteomics,0.0826154564701864,45042,7,45035,-0.961913917023212,-0.0101436393125794,-0.650179317788107,0.37458189098763,-1.38436607070406,0.0840074351278485
25714#Weighted-mean ISOVF in tract forceps major,rec,Chapter VI Diseases of the nervous system,0.0804838641045627,34969,7,34962,-1.26860832612107,0.000773326173480072,-0.658290379047798,0.376610086804662,-1.39645813814293,0.0798773800473301
1072#285#BRK1#Q8WUW1#OID20883#v1#Neurology,rec,OLINK Proteomics,0.0146344809895855,44217,7,44210,-0.479864832791111,0.00456525539111468,-0.9047342616326,0.370580651298934,-1.63107888252476,-0.178389640740438
1072#1062#FKBPL#Q9UIM3#OID31499#v1#OncologyII,rec,OLINK Proteomics,0.0818795230537612,45423,6,45417,-0.790221386374764,-0.00827284091225564,-0.700800346894074,0.402776918063687,-1.49024964496977,0.0886489511816252
1072#1632#LTBP3#Q9NS15#OID21191#v1#Oncology,rec,OLINK Proteomics,0.067986402433172,44180,6,44174,-0.078553899607748,0.00306046529625342,-0.718043815175068,0.393418122497889,-1.4891503006133,0.0530626702631625
1072#2461#SKAP1#Q86WV1#OID20906#v1#Neurology,rec,OLINK Proteomics,0.099941198505781,44842,7,44835,-0.172249532723076,-0.00252279589157433,-0.620156506476201,0.376955245461263,-1.35899516236704,0.118682149414637
1072#2469#SLC12A2#P55011#OID30077#v1#CardiometabolicII,rec,OLINK Proteomics,0.0101851607197451,44108,7,44101,0.744070951724594,0.00344274846973669,0.970165147387295,0.377556454377255,0.230147779168027,1.71018251560656
1072#1086#FSHB#P01225#OID30233#v1#CardiometabolicII,rec,OLINK Proteomics,0.0963030824597962,44457,6,44451,-0.123215827874075,0.0136157529039486,0.445021600781534,0.267588496303632,-0.0794564999356532,0.969499701498721
1072#2261#RECK#O95980#OID30234#v1#CardiometabolicII,rec,OLINK Proteomics,0.0246751871692484,44457,6,44451,0.880569246200143,-0.0103737725086366,0.859798448955134,0.382723466868654,0.109653806057627,1.60994309185264
25554#Weighted-mean MO in tract inferior fronto-occipital fasciculus (left),rec,Chapter VI Diseases of the nervous system,0.098972238375464,34970,7,34963,-0.689634590280317,-0.00615556267306934,-0.616129238161657,0.373434143160641,-1.34807204588726,0.115813569563951
30870#Triglycerides,rec,Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified,0.0740102429368984,399959,61,399898,0.0725784318274423,0.0106117246985243,0.220674928564027,0.123519826284406,-0.0214202149709797,0.462770072099033
25899#Volume of grey matter in VI Cerebellum (right),rec,Chapter VI Diseases of the nervous system,0.00179090563693354,36929,7,36922,-1.00039630198771,0.0140852791739605,-1.08340968608379,0.346901164695348,-1.76334576269629,-0.403473609471283
1072#1658#MAMDC4#Q6UXC1#OID31342#v1#OncologyII,rec,OLINK Proteomics,0.00724292282345764,45424,7,45417,0.967273085579583,0.0148909624000698,0.995615653741768,0.370725776286381,0.26898711429368,1.72224419318986
1072#2240#RANGAP1#P46060#OID21203#v1#Oncology,rec,OLINK Proteomics,0.0715552263924355,44180,6,44174,0.51778085543004,0.00283469263738951,0.737322908809118,0.409173541162601,-0.0646644761566096,1.53931029377484
1072#2226#RAB3GAP1#Q15042#OID30829#v1#NeurologyII,rec,OLINK Proteomics,0.0758978707253313,44185,6,44179,-0.916575039990409,0.000125491504572287,-0.7245116575062,0.408165968903113,-1.52452418052221,0.0755008655098092
1072#863#DTX2#Q86UW9#OID30882#v1#NeurologyII,rec,OLINK Proteomics,0.07361822084874,44410,6,44404,-1.00862144016068,0.00930978648480447,-0.727518383412491,0.406657222863869,-1.52457362677154,0.0695368599465575
1072#707#CSPG5#O95196#OID30843#v1#NeurologyII,rec,OLINK Proteomics,0.0622173864116787,44185,6,44179,-0.63668359687746,0.00544635820974114,-0.760139519199476,0.407627275966036,-1.5590961945247,0.0388171561257533
30650#Aspartate aminotransferase,rec,Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified,0.0118467681550991,398805,62,398743,0.346050435269869,0.000849459342989886,0.305635917801245,0.121443722032041,0.0676098740587565,0.543661961543734
25710#Weighted-mean ISOVF in tract parahippocampal part of cingulum (left),rec,Chapter VI Diseases of the nervous system,0.0609126056941401,34969,7,34962,0.558036285670207,-0.00349544107366563,0.68340984783791,0.364642822946992,-0.0313016931318175,1.39812138880764
25876#Volume of grey matter in Occipital Pole (left),rec,Chapter VI Diseases of the nervous system,0.0967170383089603,36929,7,36922,-1.01420823511179,0.0144074178034099,-0.577257551380141,0.347531050797056,-1.25842822253511,0.103913119774832
1072#1185#GNAS#O95467#OID31008#v1#NeurologyII,rec,OLINK Proteomics,0.023811625294033,45520,7,45513,-0.782004177086325,-0.0150035417349233,-0.841222152749,0.372184153858481,-1.57070909488293,-0.111735210615066
1072#1611#LRIG3#Q6UXM1#OID30450#v1#InflammationII,rec,OLINK Proteomics,0.00121880912369675,44204,7,44197,1.53597926731911,0.0194901248026693,1.19469267129483,0.369342038876399,0.4707757467915,1.91860959579816
1072#1140#GET3#O43681#OID30303#v1#CardiometabolicII,rec,OLINK Proteomics,0.0753711146282073,45616,7,45609,-0.952133897249,0.00726780703635334,-0.668747931038705,0.376072940884793,-1.40585691715834,0.0683610550809267
25920#Volume of grey matter in X Cerebellum (right),rec,Chapter VI Diseases of the nervous system,0.00978382426202753,36929,7,36922,-0.955520582057657,0.0118010635510395,-0.90272899175233,0.349419369263174,-1.58760082041242,-0.217857163092237
1072#491#CDH4#P55283#OID30875#v1#NeurologyII,rec,OLINK Proteomics,0.0997830464552497,44185,6,44179,-0.863730441336829,-0.000853342332417649,-0.674193945207662,0.409610061202291,-1.47703691468847,0.128649024273147
1072#910#EIF4B#P23588#OID21000#v1#Neurology,rec,OLINK Proteomics,0.0337528929799658,44914,7,44907,-0.813937446447181,-0.00209880865037269,-0.79275924839516,0.373401160649081,-1.52463180625465,-0.0608866905356675
25896#Volume of grey matter in V Cerebellum (right),rec,Chapter VI Diseases of the nervous system,0.017373109957473,36929,7,36922,-0.836101048723818,0.00530013132963994,-0.842007846156183,0.353959993685347,-1.5357794268759,-0.148236265436466
1072#2250#RBM17#Q96I25#OID31034#v1#NeurologyII,rec,OLINK Proteomics,0.0168857383857239,45520,7,45513,-0.703405296769918,-0.00160746271248369,-0.896725108853521,0.375312744013196,-1.63234413813166,-0.16110607957538
1072#2331#S100A14#Q9HCY8#OID30987#v1#NeurologyII,rec,OLINK Proteomics,0.0401116019366495,45520,7,45513,-0.938157666937721,0.00187537345621274,-0.771541851743284,0.375874784451564,-1.50826248934217,-0.0348212141443965
1072#2843#VASN#Q6EMK4#OID20345#v1#Cardiometabolic,rec,OLINK Proteomics,0.0749454025041161,44542,6,44536,-0.531564933720426,0.00522847187981968,-0.715176107904478,0.401594804684774,-1.50230885978187,0.0719566439729166
22334#PP interval,rec,Chapter IX Diseases of the circulatory system,0.0410381240437974,21623,3,21620,1.07623576148982,-0.0020117415478054,1.16939438390309,0.572316026998741,0.047612779030473,2.29117598877571
1072#829#DNAJB2#P25686#OID30661#v1#InflammationII,rec,OLINK Proteomics,0.086253894067173,44654,6,44648,-1.05575228371767,-0.0202568812106182,-0.676513196968086,0.394345030366097,-1.44943621326691,0.0964098193307381
25532#Weighted-mean MD in tract medial lemniscus (left),rec,Chapter VI Diseases of the nervous system,0.0300757886494333,34970,7,34963,1.04838400323552,0.0000927968413381197,0.814303947678785,0.375397249885341,0.0785133882832831,1.55009450707429
1072#2489#SLMAP#Q14BN4#OID31441#v1#OncologyII,rec,OLINK Proteomics,0.0556954741217652,45423,6,45417,-0.604977740922517,-0.00854128760324634,-0.763146557565446,0.398830687213719,-1.54486117911219,0.0185680639812996
1072#884#EDAR#Q9UNE0#OID20525#v1#Inflammation,rec,OLINK Proteomics,0.093152531927395,45190,7,45183,-0.548365237223871,0.00603676805577661,-0.630545280275591,0.375540734601118,-1.36661131782844,0.105520757277255
25909#Volume of grey matter in VIIIa Cerebellum (left),rec,Chapter VI Diseases of the nervous system,0.00293121808137946,36929,7,36922,-1.00698649720283,0.00398241100707878,-1.06121033272372,0.356702292952859,-1.76035689742911,-0.362063768018324
1072#2668#THAP12#O43422#OID31238#v1#OncologyII,rec,OLINK Proteomics,0.0270348724076464,43975,7,43968,1.0150204368262,0.00998086545994043,0.83718260708141,0.378629260179231,0.0950624587564207,1.5793027554064
25908#Volume of grey matter in VIIb Cerebellum (right),rec,Chapter VI Diseases of the nervous system,0.0426442444157076,36929,7,36922,-0.944302079921961,0.0105711275554233,-0.731408845890294,0.360789066198034,-1.43856560153514,-0.0242520902454472
1072#1773#MTIF3#Q9H2K0#OID31513#v1#OncologyII,rec,OLINK Proteomics,0.00969586577858711,45423,6,45417,-0.996781851535879,-0.00736988812406647,-1.05046980395131,0.406119820576296,-1.84647124522032,-0.254468362682295
1072#2453#SIGLEC9#Q9Y336#OID21390#v1#Oncology,rec,OLINK Proteomics,0.0473062940331524,45556,7,45549,-0.561894272806944,-0.00243399004006712,-0.72446023319113,0.365224712520954,-1.44030654304488,-0.00861392333737721
1072#961#EREG#O14944#OID20905#v1#Neurology,rec,OLINK Proteomics,0.0659317298085748,44842,7,44835,-0.5934793213208,-0.00878042254169572,-0.693727161662249,0.377244500205601,-1.43313276174365,0.0456784384191525
25481#Mean ISOVF in superior longitudinal fasciculus on FA skeleton (left),rec,Chapter VI Diseases of the nervous system,0.030152995933724,34970,7,34963,-0.580097225392438,-0.00244365258375094,-0.806136832590773,0.371806349461063,-1.53488911284939,-0.0773845523321581
