Phenotype,Collapsing model,Phenotypic category,P value,No. samples,No. cases,No. cases with QV,Proportion cases with QV,No. controls,No. controls with QV,Proportion controls with QV,Odds ratio,Odds ratio LCI,Odds ratio UCI
132577#Source of report of Q83 congenital malformations of breast,ptv5pcnt,Chapter XVII Congenital malformations deformations and chromosomal abnormalities,0.0009402,245586,126,3,0.0238095238095238,245460,364,0.00148293000896276,16.4229,5.2005,51.8631
132043#Source of report of N23 unspecified renal colic,ptv5pcnt,Chapter XIV Diseases of the genitourinary system,0.0216,292184,4748,14,0.0029486099410278,287436,433,0.00150642229922487,1.9602,1.1503,3.3403
41202#D121#Benign neoplasm: Appendix,ptv5pcnt,Chapter II Neoplasms,0.0882,297137,60,1,0.0166666666666667,297077,456,0.00153495558390586,11.0252,1.5243,79.7466
union#M5499#Dorsalgia unspecified Site unspecified,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0899,126071,2426,7,0.00288540807914262,123645,172,0.00139107929960775,2.0773,0.9746,4.4277
40002#ChapterX#Chapter X Diseases of the respiratory system,ptv5pcnt,Chapter X Diseases of the respiratory system,0.0821,295642,6872,16,0.00232828870779977,288770,430,0.00148907434982858,1.5649,0.9495,2.5791
132023#Source of report of N13 obstructive and reflux uropathy,ptv5pcnt,Chapter XIV Diseases of the genitourinary system,0.0295,320288,6010,16,0.00266222961730449,314278,473,0.00150503694181584,1.7709,1.0753,2.9165
40006#C609#Malignant neoplasm: Penis unspecified,ptv5pcnt,Chapter II Neoplasms,0.0575,146836,41,1,0.024390243902439,146795,211,0.00143737865731122,17.3678,2.3766,126.9196
41202#M240#Loose body in joint,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0377,232323,206,2,0.00970873786407767,232117,341,0.0014690867105813,6.6637,1.6486,26.9349
41202#M7960#Pain in limb Multiple sites,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0151,297956,346,3,0.00867052023121387,297610,437,0.001468364638285,5.9478,1.9014,18.605
union#Block L00-L08#L00-L08 Infections of the skin and subcutaneous tissue,ptv5pcnt,Chapter XII Diseases of the skin and subcutaneous tissue,0.0635,183735,18070,17,0.000940785832872164,165665,251,0.00151510578577249,0.6206,0.3796,1.0144
41202#M189#Arthrosis of first carpometacarpal joint unspecified,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0303,212607,1540,6,0.0038961038961039,211067,314,0.00148767926772068,2.6252,1.1686,5.8974
union#M0734#Other psoriatic arthropathies Hand,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0535,139698,40,1,0.025,139658,191,0.00136762663076945,18.7229,2.5592,136.9731
union#I694#Sequelae of stroke not specified as haemorrhage or infarction,ptv5pcnt,Chapter IX Diseases of the circulatory system,0.081,127264,2097,0,0,125167,187,0.00149400401064178,0,,
20002#1413#nasal|sinus disorder,ptv5pcnt,Chapter VIII Diseases of the ear and mastoid process,0.0554,296884,5940,3,0.000505050505050505,290944,427,0.00146763638363396,0.3438,0.1104,1.0705
union#M8687#Other osteomyelitis Ankle and foot,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0561,139700,42,1,0.0238095238095238,139658,191,0.00136762663076945,17.8096,2.4373,130.1342
41202#G43#Migraine,ptv5pcnt,Chapter VI Diseases of the nervous system,0.0859,279250,2224,0,0,277026,412,0.00148722502580985,0,,
