Phenotype,Collapsing model,Phenotypic category,P value,No. samples,No. cases,No. cases with QV,Proportion cases with QV,No. controls,No. controls with QV,Proportion controls with QV,Odds ratio,Odds ratio LCI,Odds ratio UCI
41202#H90#Conductive and sensorineural hearing loss,UR,Chapter VIII Diseases of the ear and mastoid process,0.0463,411583,567,4,0.00705467372134039,411016,965,0.00234784047336357,3.019,1.1268,8.0884
41202#ChapterVI#Chapter VI Diseases of the nervous system,UR,Chapter VI Diseases of the nervous system,0.0251,408175,35332,64,0.00181138910902298,372843,898,0.00240852047644719,0.7516,0.5831,0.9688
union#Block M91-M94#M91-M94 Chondropathies,UR,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0961,124664,1849,8,0.00432666306111412,122815,296,0.00241012905589708,1.7987,0.8898,3.6357
union#Z822#Family history of deafness and hearing loss,UR,Chapter XXI Factors influencing health status and contact with health services,0.0713,154605,33,1,0.0303030303030303,154572,345,0.00223196956758016,13.9698,1.9035,102.5234
union#D15#Benign neoplasm of other and unspecified intrathoracic organs,UR,Chapter II Neoplasms,0.0499,217055,146,2,0.0136986301369863,216909,527,0.00242959028901521,5.7027,1.4089,23.0824
union#K51#Ulcerative colitis,UR,Chapter XI Diseases of the digestive system,0.0912,144926,5415,7,0.0012927054478301,139511,350,0.00250876274989069,0.5146,0.2434,1.0881
20002#1247#meningitis,UR,Chapter VI Diseases of the nervous system,0.0261,362360,1760,0,0,360600,890,0.00246810870770937,0,,
20002#1664#dysmenorrhoea | dysmenorrhea,UR,Chapter XIV Diseases of the genitourinary system,0.0232,192448,261,3,0.0114942528735632,192187,442,0.00229984338170636,5.0443,1.6101,15.8038
20002#1472#emphysema,UR,Chapter X Diseases of the respiratory system,0.0617,234085,170,2,0.0117647058823529,233915,551,0.00235555650556826,5.042,1.2475,20.3781
union#E559#Vitamin D deficiency unspecified,UR,Chapter IV Endocrine nutritional and metabolic diseases,0.0587,211045,3918,15,0.00382848392036753,207127,465,0.00224499944478508,1.708,1.0204,2.8591
41202#E111#Type 2 diabetes mellitus; With ketoacidosis,UR,Chapter IV Endocrine nutritional and metabolic diseases,0.0118,311115,198,3,0.0151515151515152,310917,730,0.00234789348925919,6.5371,2.0853,20.4931
41202#J986#Disorders of diaphragm,UR,Chapter X Diseases of the respiratory system,0.0876,372712,39,1,0.0256410256410256,372673,874,0.00234521953562507,11.1947,1.5353,81.6281
union#M791#Myalgia,UR,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0552,126435,1151,6,0.0052128583840139,125284,290,0.00231474090865553,2.2586,1.0043,5.0796
23067#MCV seropositivity for Merkel Cell Polyomavirus,UR,Chapter I Certain infectious and parasitic diseases,0.0406,8098,5327,7,0.00131406044678055,2771,10,0.00360880548538434,0.3633,0.1381,0.9555
union#Q668#Other congenital deformities of feet,UR,Chapter XVII Congenital malformations deformations and chromosomal abnormalities,0.0742,316976,192,2,0.0104166666666667,316784,735,0.00232019293903733,4.5263,1.1217,18.265
41202#K31#Other diseases of stomach and duodenum,UR,Chapter XI Diseases of the digestive system,0.0369,222002,6415,24,0.00374123148869836,215587,510,0.00236563429149253,1.5837,1.0509,2.3867
132541#Source of report of Q65 congenital deformities of hip,UR,Chapter XVII Congenital malformations deformations and chromosomal abnormalities,0.0337,275005,298,3,0.0100671140939597,274707,642,0.00233703545959877,4.3413,1.3885,13.5739
union#I80#Phlebitis and thrombophlebitis,UR,Chapter IX Diseases of the circulatory system,0.0775,182891,16464,50,0.00303692905733722,166427,385,0.00231332656359845,1.3138,0.9781,1.7647
132083#Source of report of N45 orchitis and epididymitis,UR,Chapter XIV Diseases of the genitourinary system,0.0431,193365,2644,12,0.00453857791225416,190721,462,0.00242238662758689,1.8776,1.0572,3.3347
union#J939#Pneumothorax unspecified,UR,Chapter X Diseases of the respiratory system,0.0858,132817,1446,0,0,131371,303,0.00230644510584528,0,,
union#M173#Other post-traumatic gonarthrosis,UR,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0728,99661,172,2,0.0116279069767442,99489,254,0.00255304606539416,4.5963,1.134,18.6295
41202#D110#Benign neoplasm: Parotid gland,UR,Chapter II Neoplasms,0.0399,274240,528,4,0.00757575757575758,273712,656,0.00239667972175133,3.1774,1.1845,8.5232
40002#Block C76-C80#C76-C80 Malignant neoplasms of ill-defined| secondary and unspecified sites,UR,Chapter II Neoplasms,0.0549,279447,2821,2,0.000708968450903935,276626,680,0.00245819265000398,0.2879,0.0718,1.1541
41202#D11#Benign neoplasm of major salivary glands,UR,Chapter II Neoplasms,0.0663,275078,626,4,0.00638977635782748,274452,659,0.00240114847040648,2.6718,0.9967,7.1626
union#M0691#Rheumatoid arthritis unspecified Shoulder region,UR,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0412,93363,141,2,0.0141843971631206,93222,210,0.00225268713393834,6.3729,1.5677,25.9058
union#M13#Other arthritis,UR,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0293,152496,35628,108,0.00303132367800606,116868,275,0.00235308210973064,1.2891,1.0315,1.611
union#M8697#Osteomyelitis unspecified Ankle and foot,UR,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0282,89172,442,4,0.00904977375565611,88730,226,0.00254705285698186,3.5764,1.3248,9.6545
41202#I214#Acute subendocardial myocardial infarction,UR,Chapter IX Diseases of the circulatory system,0.0301,203353,3899,3,0.000769428058476533,199454,478,0.00239654256119205,0.3205,0.103,0.9978
41202#K092#Other cysts of jaw,UR,Chapter XI Diseases of the digestive system,0.007,190488,157,3,0.0191082802547771,190331,465,0.00244311226232196,7.9542,2.5282,25.0254
41202#Z421#Follow-up care involving plastic surgery of breast,UR,Chapter XXI Factors influencing health status and contact with health services,0.0736,190549,2287,1,0.000437254044599913,188262,441,0.00234248016062721,0.1863,0.0262,1.3262
union#G03#Meningitis due to other and unspecified causes,UR,Chapter VI Diseases of the nervous system,0.0125,279184,2106,0,0,277078,693,0.00250110077306751,0,,
130999#Source of report of G03 meningitis due to other and unspecified causes,UR,Chapter VI Diseases of the nervous system,0.0119,389738,2101,0,0,387637,930,0.00239915178375645,0,,
41202#B15#Acute hepatitis A,UR,Chapter I Certain infectious and parasitic diseases,0.0727,395717,32,1,0.03125,395685,931,0.0023528817114624,13.6778,1.8652,100.3006
41202#K811#Chronic cholecystitis,UR,Chapter XI Diseases of the digestive system,0.0271,196099,1444,8,0.00554016620498615,194655,471,0.00241966556214842,2.2968,1.1397,4.6287
union#M2486#Other specific joint derangements not elsewhere classified Lower leg,UR,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0164,139738,80,2,0.025,139658,337,0.00241303756319008,10.6004,2.5941,43.3168
union#Q658#Other congenital deformities of hip,UR,Chapter XVII Congenital malformations deformations and chromosomal abnormalities,0.0037,250397,131,3,0.0229007633587786,250266,583,0.00232952138924185,10.0376,3.1857,31.6271
131317#Source of report of I31 other diseases of pericardium,UR,Chapter IX Diseases of the circulatory system,0.0029,324300,2921,16,0.00547757617254365,321379,750,0.0023336932406909,2.3546,1.4331,3.8687
131065#Source of report of G51 facial nerve disorders,UR,Chapter VI Diseases of the nervous system,0.0571,419387,3052,2,0.000655307994757536,416335,989,0.00237549089074904,0.2754,0.0687,1.1032
union#Z121#Special screening examination for neoplasm of intestinal tract,UR,Chapter XXI Factors influencing health status and contact with health services,0.0211,167342,12770,42,0.00328895849647612,154572,345,0.00223196956758016,1.4751,1.0703,2.0331
41202#Block K65-K67#K65-K67 Diseases of peritoneum,UR,Chapter XI Diseases of the digestive system,0.0809,239222,1241,6,0.0048348106365834,237981,568,0.00238674516032793,2.0307,0.9067,4.548
union#I371#Pulmonary valve insufficiency,UR,Chapter IX Diseases of the circulatory system,0.0455,124774,566,4,0.00706713780918728,124208,289,0.0023267422388252,3.0519,1.1337,8.2152
union#H11#Other disorders of conjunctiva,UR,Chapter VII Diseases of the eye and adnexa,0.0483,260568,7351,9,0.00122432322133043,253217,599,0.00236555997425133,0.517,0.2676,0.9989
41202#K318#Other specified diseases of stomach and duodenum,UR,Chapter XI Diseases of the digestive system,0.0152,239292,1311,8,0.0061022120518688,237981,568,0.00238674516032793,2.5663,1.2744,5.1676
union#H905#Sensorineural hearing loss unspecified,UR,Chapter VIII Diseases of the ear and mastoid process,0.0625,155792,850,5,0.00588235294117647,154942,382,0.00246543868028036,2.3941,0.9882,5.8
41202#H182#Other corneal oedema,UR,Chapter VII Diseases of the eye and adnexa,0.0852,353874,38,1,0.0263157894736842,353836,827,0.00233724098169774,11.5366,1.581,84.1842
union#K603#Anal fistula,UR,Chapter XI Diseases of the digestive system,0.0349,106562,1537,8,0.00520494469746259,105025,250,0.00238038562247084,2.1928,1.0826,4.4413
41202#E83#Disorders of mineral metabolism,UR,Chapter IV Endocrine nutritional and metabolic diseases,0.0347,342414,2060,10,0.00485436893203884,340354,802,0.00235637013227404,2.0653,1.1053,3.8591
131835#Source of report of L97 ulcer of lower limb not elsewhere classified,UR,Chapter XII Diseases of the skin and subcutaneous tissue,0.0619,305004,3148,13,0.00412960609911055,301856,716,0.0023719919431782,1.7441,1.0066,3.0218
41202#K61#Abscess of anal and rectal regions,UR,Chapter XI Diseases of the digestive system,0.0063,154038,1630,10,0.00613496932515337,152408,357,0.00234239672458139,2.6291,1.3998,4.938
union#M71#Other bursopathies,UR,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0148,135258,3214,15,0.00466708151835719,132044,307,0.00232498258156372,2.0121,1.1969,3.3826
41202#N323#Diverticulum of bladder,UR,Chapter XIV Diseases of the genitourinary system,0.0454,188380,330,3,0.00909090909090909,188050,447,0.00237702738633342,3.8504,1.2307,12.0462
union#R846#Abnormal findings in specimens from respiratory organs and thorax; Abnormal cytological findings,UR,Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified,0.0687,78071,30,1,0.0333333333333333,78041,184,0.00235773503671147,14.5909,1.9771,107.6781
41202#K439#Other and unspecified ventral hernia without obstruction or gangrene,UR,Chapter XI Diseases of the digestive system,0.0455,218424,3260,14,0.00429447852760736,215164,520,0.00241676116822517,1.7803,1.0458,3.0306
union#L97#Ulcer of lower limb not elsewhere classified,UR,Chapter XII Diseases of the skin and subcutaneous tissue,0.0591,150345,3148,13,0.00412960609911055,147197,343,0.00233021053418208,1.7754,1.0193,3.0925
41202#D15#Benign neoplasm of other and unspecified intrathoracic organs,UR,Chapter II Neoplasms,0.0318,239847,119,2,0.0168067226890756,239728,557,0.00232346659547487,7.34,1.8097,29.7711
union#K70#Alcoholic liver disease,UR,Chapter XI Diseases of the digestive system,0.0968,93386,1905,8,0.0041994750656168,91481,214,0.0023392835670795,1.7986,0.8867,3.6482
union#E111#Type 2 diabetes mellitus; With ketoacidosis,UR,Chapter IV Endocrine nutritional and metabolic diseases,0.0466,174430,321,3,0.00934579439252336,174109,430,0.00246971724609297,3.8104,1.2176,11.9246
union#J17#Pneumonia in diseases classified elsewhere,UR,Chapter X Diseases of the respiratory system,0.0391,119483,305,3,0.00983606557377049,119178,288,0.00241655339072648,4.1008,1.3075,12.8617
131381#Source of report of I70 atherosclerosis,UR,Chapter IX Diseases of the circulatory system,0.0617,280161,3238,13,0.00401482396541075,276923,638,0.0023038895288582,1.7456,1.0069,3.0262
union#G40#Epilepsy,UR,Chapter VI Diseases of the nervous system,0.0549,269756,7184,10,0.00139198218262806,262572,665,0.0025326386667276,0.549,0.2939,1.0255
union#R73#Elevated blood glucose level,UR,Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified,0.0038,86412,2499,15,0.00600240096038415,83913,209,0.00249067486563465,2.4185,1.43,4.0901
union#B972#Coronavirus as the cause of diseases classified to other chapters,UR,Chapter I Certain infectious and parasitic diseases,0.0974,204181,1826,8,0.00438116100766703,202355,497,0.00245607966198018,1.7873,0.8875,3.5992
union#I50#Heart failure,UR,Chapter IX Diseases of the circulatory system,0.0912,128704,15310,46,0.00300457217504899,113394,258,0.00227525265887084,1.3215,0.9652,1.8093
union#M7126#M7126 Synovial cyst of popliteal space [Baker]-Lower Leg,UR,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0827,120207,200,2,0.01,120007,284,0.00236652861916388,4.2582,1.0524,17.2293
union#G433#Complicated migraine,UR,Chapter VI Diseases of the nervous system,0.0909,277116,38,1,0.0263157894736842,277078,693,0.00250110077306751,10.779,1.4768,78.6738
union#D091#Carcinoma in situ: Other and unspecified urinary organs,UR,Chapter II Neoplasms,0.0472,159819,144,2,0.0138888888888889,159675,381,0.0023860967590418,5.8887,1.4532,23.8623
union#N838#Other noninflammatory disorders of ovary fallopian tube and broad ligament,UR,Chapter XIV Diseases of the genitourinary system,0.0365,91979,748,5,0.00668449197860963,91231,218,0.00238953864366279,2.8095,1.1543,6.8378
union#M758#Other shoulder lesions,UR,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0545,141551,1893,9,0.00475435816164818,139658,337,0.00241303756319008,1.9749,1.0171,3.8347
20002#1525#benign | essential tremor,UR,Chapter VI Diseases of the nervous system,0.034,385618,118,2,0.0169491525423729,385500,938,0.00243320363164721,7.0686,1.7443,28.6445
41202#G570#Lesion of sciatic nerve,UR,Chapter VI Diseases of the nervous system,0.0812,384090,35,1,0.0285714285714286,384055,927,0.00241371678535626,12.1558,1.6622,88.8962
4803#Tinnitus,UR,Chapter VIII Diseases of the ear and mastoid process,0.0721,123883,39842,111,0.00278600471863862,84041,188,0.00223700336740401,1.2461,0.9852,1.5761
131357#Source of report of I51 complications and ill defined descriptions of heart disease,UR,Chapter IX Diseases of the circulatory system,0.0634,321489,18718,57,0.0030451971364462,302771,710,0.00234500662216659,1.2995,0.9918,1.7027
41202#C60#Malignant neoplasm of penis,UR,Chapter II Neoplasms,0.023,138023,93,2,0.021505376344086,137930,343,0.00248676865076488,8.816,2.163,35.9327
union#D000#Carcinoma in situ: Lip oral cavity and pharynx,UR,Chapter II Neoplasms,0.032,201699,112,2,0.0178571428571429,201587,499,0.00247535803400021,7.3269,1.8046,29.7488
union#I37#Pulmonary valve disorders,UR,Chapter IX Diseases of the circulatory system,0.0713,130479,674,4,0.00593471810089021,129805,296,0.00228034359231154,2.6121,0.9711,7.0264
union#I82#Other venous embolism and thrombosis,UR,Chapter IX Diseases of the circulatory system,0.006,187274,11684,43,0.00368024649092776,175590,407,0.00231789965259981,1.5899,1.1605,2.1783
41202#I7020#Atherosclerosis of arteries of extremities without gangrene,UR,Chapter IX Diseases of the circulatory system,0.0254,190532,658,5,0.00759878419452888,189874,469,0.00247005909181879,3.0923,1.2768,7.4891
union#K641#Second degree haemorrhoids,UR,Chapter XI Diseases of the digestive system,0.0536,147521,2263,11,0.00486080424215643,145258,368,0.00253342328821821,1.9232,1.0542,3.5083
union#G560#Carpal tunnel syndrome,UR,Chapter VI Diseases of the nervous system,0.0805,233687,22284,40,0.0017950098725543,211403,510,0.00241245393868583,0.7436,0.5388,1.0262
41202#K626#Ulcer of anus and rectum,UR,Chapter XI Diseases of the digestive system,0.0475,238316,335,3,0.00895522388059702,237981,568,0.00238674516032793,3.7769,1.2083,11.8059
union#L570#Actinic keratosis,UR,Chapter XII Diseases of the skin and subcutaneous tissue,0.0769,173673,4975,18,0.00361809045226131,168698,398,0.00235924551565519,1.5355,0.9567,2.4646
41202#H026#Xanthelasma of eyelid,UR,Chapter VII Diseases of the eye and adnexa,0.0835,249114,203,2,0.00985221674876847,248911,585,0.00235023763513866,4.2238,1.0466,17.0457
union#M721#Knuckle pads,UR,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0768,139691,33,1,0.0303030303030303,139658,337,0.00241303756319008,12.9192,1.7603,94.8195
41202#Block M65-M68#M65-M68 Disorders of synovium and tendon,UR,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.092,265190,8977,13,0.00144814526010917,256213,594,0.00231838353245152,0.6241,0.3601,1.0816
41202#M139#Arthritis unspecified,UR,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0652,252342,2045,9,0.00440097799511002,250297,589,0.0023532043931809,1.8741,0.9688,3.625
union#Q06#Other congenital malformations of spinal cord,UR,Chapter XVII Congenital malformations deformations and chromosomal abnormalities,0.0855,403387,38,1,0.0263157894736842,403349,947,0.00234784268710224,11.4844,1.5741,83.7908
union#Q60#Renal agenesis and other reduction defects of kidney,UR,Chapter XVII Congenital malformations deformations and chromosomal abnormalities,0.0349,332763,301,3,0.00996677740863787,332462,780,0.00234613279111598,4.2809,1.3698,13.378
41202#M86#Osteomyelitis,UR,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0779,200298,653,4,0.00612557427258806,199645,486,0.00243432091963235,2.5257,0.9413,6.7771
41202#I509#Heart failure unspecified,UR,Chapter IX Diseases of the circulatory system,0.0386,209171,1036,6,0.00579150579150579,208135,490,0.00235424123765825,2.4685,1.101,5.5345
41202#I74#Arterial embolism and thrombosis,UR,Chapter IX Diseases of the circulatory system,0.0859,197797,974,5,0.00513347022587269,196823,467,0.00237269018356595,2.1696,0.8968,5.2488
6152#5#Blood clot in the leg (DVT),UR,Chapter IX Diseases of the circulatory system,0.0432,383647,8616,30,0.00348189415041783,375031,885,0.00235980492279305,1.4772,1.026,2.1268
41202#H438#Other disorders of vitreous body,UR,Chapter VII Diseases of the eye and adnexa,0.0867,308531,209,2,0.00956937799043062,308322,720,0.00233522097028431,4.1278,1.0235,16.6476
union#M315#Giant cell arteritis with polymyalgia rheumatica,UR,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0068,92129,161,3,0.0186335403726708,91968,215,0.00233776965901183,8.103,2.5654,25.5937
131493#Source of report of J44 other chronic obstructive pulmonary disease,UR,Chapter X Diseases of the respiratory system,0.0639,355930,22224,66,0.00296976241900648,333706,779,0.00233439015181028,1.273,0.9898,1.6372
union#C419#Malignant neoplasm: Bone and articular cartilage unspecified,UR,Chapter II Neoplasms,0.0954,181894,41,1,0.024390243902439,181853,443,0.00243603349958483,10.2376,1.4043,74.6346
41202#Block M15-M19#M15-M19 Arthrosis,UR,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0757,321847,46819,132,0.00281936820521583,275028,652,0.00237066771383277,1.1898,0.9866,1.4349
131153#Source of report of H17 corneal scars and opacities,UR,Chapter VII Diseases of the eye and adnexa,0.0825,341430,431,3,0.00696055684454756,340999,800,0.00234604793562444,2.9807,0.9555,9.2984
41202#K51#Ulcerative colitis,UR,Chapter XI Diseases of the digestive system,0.0738,200727,3313,3,0.000905523694536674,197414,480,0.00243143849980245,0.3719,0.1194,1.1577
41202#D136#Benign neoplasm: Pancreas,UR,Chapter II Neoplasms,0.0136,297150,73,2,0.0273972602739726,297077,714,0.00240341729585259,11.6922,2.8625,47.7585
41202#M0590#Seropositive rheumatoid arthritis unspecified Multiple sites,UR,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0256,212875,272,3,0.0110294117647059,212603,488,0.00229535801470346,4.8475,1.5482,15.1777
